time	aortic_valve_pos	mitral_valve_pos	muscle_length	muscle_stress	muscle_ATP_used_per_liter_per_s	muscle_ATP_concentration	hr_new_beat	hr_heart_rate_bpm	memb_Ca_cytosol	memb_Ca_sr	memb_activation	memb_t_open_left_s	memb_k_serca	memb_k_leak	memb_k_active	memb_J_release	memb_J_uptake	mito_volume	mito_ATP_generated_M_per_liter_per_s	fs_muscle_length	fs_muscle_stress	fs_hs_length	fs_hs_stress_titin	fs_hs_stress_extracellular	fs_hs_stress_viscous	fs_hs_stress_total	fs_hs_a_pop_0	fs_hs_a_pop_1	fs_hs_m_pop_0	fs_hs_m_pop_1	fs_hs_m_pop_2	fs_hs_m_pop_3	fs_hs_c_pop_0	fs_hs_c_pop_1	fs_hs_c_pop_2	fs_sc_extension	fs_sc_last_extension	fs_sc_force	vent_wall_volume	vent_wall_thickness	vent_chamber_radius	vent_chamber_height	vent_n_hs	vent_stroke_work_J	vent_stroke_energy_used_J	vent_efficiency	vent_ejection_fraction	vent_ATP_used_per_s	vent_stroke_volume	vent_cardiac_output	rc_1_C	rc_heart_rate_t_RR_interval_s	rc_2_C	rc_membranes_k_active	rc_3_C	rc_membranes_k_serca	rc_4_C	rc_FiberSim_m_state_1_trans_1_param_1	rc_5_C	rc_FiberSim_k_on	rc_6_C	rc_circulation_resistance_4	rc_7_C	rc_circulation_compliance_7	baro_active	baro_P_set	baro_A	baro_B	gc_1_prop_signal	gc_1_deriv_signal	gc_1_output	gc_1_slope	gc_2_prop_signal	gc_2_deriv_signal	gc_2_output	gc_2_slope	growth_active	circ_blood_volume	pressure_0	pressure_1	pressure_2	pressure_3	pressure_4	pressure_5	pressure_6	volume_0	volume_1	volume_2	volume_3	volume_4	volume_5	volume_6	flow_0	flow_1	flow_2	flow_3	flow_4	flow_5	flow_6
0.01	0.00022477	0.9809	928.837	6.57749	-0	0.00700396	1	60	5.76626e-09	0.000999994	0	-0.01	8	0.0006	0.082	5.99997e-07	4.61301e-08	3.6e-05	0.000396	928.837	6.57749	928.836	73.7413	-26.5102	104.594	151.828	1	0	0.938272	0.0617284	0	0	1	0	0	0.000657749	0.000512498	6.57749	0.1	0.0109601	0.0183254	0.0741544	160981	-0.00102044	-0.0665837	-0.0153256	0.688746	-0	0.11064	6.64507	0.5	1	0.5	0.082	0.5	8	0.5	40	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.28905	0.5	0	0	0	0	0	0	0	0	0	4.5	0.0483415	7.65051e-07	2.50561e-06	0.000986288	0.0893801	0.185408	12.411	0.0521558	0.3	0.3	0.100001	0.250011	0.506172	2.99166	0.606326	5.43276e-07	-4.3514e-08	-1.22973e-06	-0.000353575	-0.00192055	-0.611279
0.02	0.0137553	1	938.004	38.949	-0	0.00700792	0	60	1.10892e-08	0.000999989	0	-0.02	8	0.0006	0.082	5.99993e-07	8.87132e-08	3.6e-05	0.000396	938.004	38.949	938	171.864	-14.2633	88.9268	246.53	1	0	0.896605	0.103395	0	0	1	0	0	0.0038949	0.00368732	38.949	0.1	0.0104007	0.0188388	0.0783185	160981	-0.00102044	-0.0665837	-0.0153256	0.688746	-0	0.11064	6.64507	0.5	1	0.5	0.082	0.5	8	0.5	40	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289053	0.5	0	0	0	0	0	0	0	0	0	4.5	0.371531	0.00106748	9.58115e-05	0.00730499	0.253299	0.385757	12.2597	0.058214	0.300001	0.3	0.100008	0.250027	0.512164	2.97959	0.594407	0.000254792	2.42918e-05	-9.01147e-06	-0.000983975	-0.00264916	-0.593696
0.03	0.0951539	1	946.244	117.129	-0	0.00701188	0	60	1.60028e-08	0.000999984	0	-0.03	8	0.0006	0.082	5.9999e-07	1.28022e-07	3.6e-05	0.000396	946.244	117.129	946.232	261.002	-4.27565	76.7564	815.304	0.99537	0.00462963	0.896605	0.102623	0	0.000771605	1	0	0	0.0117129	0.0110148	117.129	0.1	0.00992748	0.0192845	0.0821233	160981	-0.00102044	-0.0665837	-0.0153256	0.688746	-0	0.11064	6.64507	0.5	1	0.5	0.082	0.5	8	0.5	40	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289112	0.5	0	0	0	0	0	0	0	0	0	4.5	1.0097	0.0297155	0.00266686	0.0197792	0.418615	0.580116	12.1138	0.063965	0.300016	0.300003	0.100021	0.250043	0.517977	2.96797	0.555206	0.00466248	0.000676216	-2.13905e-05	-0.00159534	-0.00323003	-0.576686
0.04	0.337976	1	953.397	170.369	-0	0.00701584	0	60	2.05386e-08	0.000999979	0	-0.04	8	0.0006	0.082	5.99988e-07	1.64309e-07	3.6e-05	0.000396	953.397	170.369	953.38	339.54	3.82704	67.3766	410.746	0.997685	0.00231481	0.901235	0.0987654	0	0	1	0	0	0.0170369	0.0167965	170.369	0.1	0.00953898	0.0196604	0.0854761	160981	-0.00102044	-0.0665837	-0.0153256	0.688746	-0	0.11064	6.64507	0.5	1	0.5	0.082	0.5	8	0.5	40	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.289562	0.5	0	0	0	0	0	0	0	0	0	4.5	1.50196	0.248927	0.0322071	0.0381441	0.580399	0.768717	11.9753	0.069197	0.300115	0.300031	0.10004	0.25006	0.523618	2.95694	0.523666	0.0211747	0.005418	-7.42118e-06	-0.00216902	-0.00376636	-0.560328
0.05	0.789763	1	959.622	230.119	-0	0.0070198	0	60	2.47257e-08	0.000999975	0	-0.05	8	0.0006	0.082	5.99985e-07	1.97805e-07	3.6e-05	0.000396	959.622	230.119	959.599	408.518	11.2552	58.3078	478.083	1	0	0.865741	0.134259	0	0	1	0	0	0.0230119	0.0227639	230.119	0.1	0.00921626	0.0199801	0.0884349	160981	-0.00102044	-0.0665837	-0.0153256	0.688746	-0	0.11064	6.64507	0.5	1	0.5	0.082	0.5	8	0.5	40	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.290696	0.5	0	0	0	0	0	0	0	0	0	4.5	1.92184	0.799284	0.154572	0.0626215	0.738509	0.951776	11.8422	0.0739398	0.300348	0.30014	0.100065	0.250075	0.529094	2.94634	0.49602	0.0443277	0.0161178	0.000114938	-0.00270355	-0.00426533	-0.544523
0.06	1	1	965.141	292.502	-0	0.00702376	0	60	2.85908e-08	0.000999971	0	-0.06	8	0.0006	0.082	5.99983e-07	2.28726e-07	3.6e-05	0.000396	965.141	292.502	965.112	470.283	18.2831	53.2162	541.784	0.988426	0.0115741	0.882716	0.117284	0	0	1	0	0	0.0292502	0.0290009	292.502	0.1	0.00894376	0.020257	0.0910858	160981	-0.00102044	-0.0665837	-0.0153256	0.688746	-0	0.11064	6.64507	0.5	1	0.5	0.082	0.5	8	0.5	40	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.292024	0.5	0	0	0	0	0	0	0	0	0	4.5	2.32921	1.4426	0.4173	0.094237	0.89321	1.12949	11.7145	0.0782819	0.300596	0.300359	0.100098	0.250091	0.534409	2.93617	0.469267	0.0443305	0.0256325	0.000403829	-0.00319589	-0.00472553	-0.529253
0.07	1	1	970.223	355.598	-0	0.00702772	0	60	3.21587e-08	0.000999968	0	-0.07	8	0.0006	0.082	5.99981e-07	2.5727e-07	3.6e-05	0.000396	970.223	355.598	970.187	527.691	25.1452	48.8167	601.655	1	0	0.901235	0.0987654	0	0	1	0	0	0.0355598	0.0353137	355.598	0.1	0.00870221	0.0205075	0.0935532	160981	-0.00102044	-0.0665837	-0.0153256	0.688746	-0	0.11064	6.64507	0.5	1	0.5	0.082	0.5	8	0.5	40	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.292878	0.5	0	0	0	0	0	0	0	0	0	4.5	2.71043	1.85551	0.74558	0.133895	1.04484	1.30204	11.592	0.0824028	0.300757	0.300623	0.100138	0.250106	0.539571	2.9264	0.444078	0.0427461	0.0277483	0.000764606	-0.00364377	-0.00514402	-0.514498
0.08	1	1	974.884	418.062	-0	0.00703168	0	60	3.54523e-08	0.000999965	0	-0.08	8	0.0006	0.082	5.99979e-07	2.83618e-07	3.6e-05	0.000396	974.884	418.062	974.842	580.825	31.788	44.8362	657.451	0.997685	0.00231481	0.873457	0.126543	0	0	1	0	0	0.0418062	0.0415669	418.062	0.1	0.00848804	0.0207336	0.0958395	160981	-0.00102044	-0.0665837	-0.0153256	0.688746	-0	0.11064	6.64507	0.5	1	0.5	0.082	0.5	8	0.5	40	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.293628	0.5	0	0	0	0	0	0	0	0	0	4.5	3.06199	2.21724	1.08476	0.181479	1.19359	1.46961	11.4743	0.0862883	0.300901	0.300895	0.100187	0.250121	0.544583	2.91703	0.420617	0.0422376	0.028312	0.0011291	-0.00404843	-0.00552051	-0.500236
0.09	1	1	979.176	479.003	-0	0.00703564	0	60	3.84927e-08	0.000999962	0	-0.09	8	0.0006	0.082	5.99977e-07	3.07941e-07	3.6e-05	0.000396	979.176	479.003	979.128	630.171	38.215	41.3737	709.761	0.99537	0.00462963	0.87963	0.12037	0	0	1	0	0	0.0479003	0.0476695	479.003	0.1	0.00829694	0.0209388	0.0979642	160981	-0.00102044	-0.0665837	-0.0153256	0.688746	-0	0.11064	6.64507	0.5	1	0.5	0.082	0.5	8	0.5	40	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.29433	0.5	0	0	0	0	0	0	0	0	0	4.5	3.38285	2.55554	1.423	0.236529	1.33955	1.63238	11.3612	0.0899557	0.301035	0.301165	0.100242	0.250135	0.549452	2.90801	0.39892	0.0413654	0.0283135	0.00148309	-0.00441209	-0.00585665	-0.486443
0.1	1	1	983.146	537.884	-0	0.0070396	0	60	4.12993e-08	0.000999959	0	-0.1	8	0.0006	0.082	5.99975e-07	3.30394e-07	3.6e-05	0.000396	983.146	537.884	983.092	676.206	44.44	38.365	759.013	0.990741	0.00925926	0.904321	0.095679	0	0	1	0	0	0.0537884	0.0535673	537.884	0.1	0.00812515	0.0211262	0.0999471	160981	-0.00102044	-0.0665837	-0.0153256	0.688746	-0	0.11064	6.64507	0.5	1	0.5	0.082	0.5	8	0.5	40	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.294988	0.5	0	0	0	0	0	0	0	0	0	4.5	3.67384	2.8719	1.75466	0.298507	1.48279	1.79052	11.2525	0.0934267	0.301161	0.30143	0.100305	0.25015	0.554183	2.89935	0.378931	0.0400971	0.027931	0.00182019	-0.00473712	-0.00615465	-0.473097
